user_id,acquisition_date,cancellation_month,gender,marital_status,age,income_segment,country,channel,campaign_id,device_type,plan_type
1,2024-07-01,2025-03-01,Male,Married,31,Medium,Germany,Paid Ads,Paid Ads_C,iOS,Standard
2,2024-04-01,2024-09-01,Male,Single,54,Premium,Netherlands,Referral,Referral_B,iOS,Standard
3,2024-05-01,,Male,Single,34,Medium,Poland,Paid Ads,Paid Ads_A,Android,Standard
4,2024-07-01,,Male,Married,38,High,Belgium,Organic,Organic_C,Android,Standard
5,2024-03-01,2024-04-01,Male,Single,25,Low,Sweden,Paid Ads,Paid Ads_A,Android,Basic
6,2024-08-01,,Male,Married,56,Premium,Germany,Referral,Referral_A,Android,Premium
7,2024-05-01,2024-10-01,Female,Single,29,Medium,Switzerland,Referral,Referral_B,iOS,Basic
8,2024-05-01,2024-11-01,Female,Married,32,Medium,Spain,Organic,Organic_C,Android,Basic
9,2024-07-01,,Male,Single,48,High,Spain,Organic,Organic_C,Android,Standard
10,2024-02-01,2025-01-01,Male,Married,33,Medium,Germany,Referral,Referral_A,Android,Basic
11,2024-03-01,2024-05-01,Male,Married,35,Medium,Portugal,Organic,Organic_C,iOS,Standard
12,2024-07-01,2025-03-01,Male,Single,32,Medium,Spain,Paid Ads,Paid Ads_C,Android,Basic
13,2024-03-01,,Female,Married,32,Medium,Belgium,Organic,Organic_C,Android,Basic
14,2024-03-01,2024-04-01,Female,Married,38,High,Netherlands,Organic,Organic_C,iOS,Premium
15,2024-08-01,2025-08-01,Male,Single,40,High,Spain,Referral,Referral_B,iOS,Standard
16,2024-05-01,2024-12-01,Female,Married,28,Medium,France,Paid Ads,Paid Ads_B,Android,Basic
17,2024-04-01,2024-06-01,Female,Single,27,Medium,Czech Republic,Paid Ads,Paid Ads_C,Web,Basic
18,2024-08-01,2025-06-01,Male,Married,28,Medium,Belgium,Organic,Organic_C,iOS,Standard
19,2024-08-01,2025-07-01,Male,Single,20,Low,Sweden,Referral,Referral_C,iOS,Basic
20,2024-03-01,2024-05-01,Male,Single,19,Low,Austria,Organic,Organic_C,iOS,Standard
21,2024-06-01,2024-11-01,Male,Single,37,High,Austria,Paid Ads,Paid Ads_C,Android,Premium
22,2024-05-01,,Female,Single,44,High,Spain,Organic,Organic_B,Android,Premium
23,2024-02-01,2024-08-01,Male,Married,43,High,Italy,Paid Ads,Paid Ads_A,Web,Premium
24,2024-08-01,2025-04-01,Female,Married,18,,Poland,Paid Ads,Paid Ads_A,Android,Basic
25,2024-04-01,2024-08-01,Male,Single,32,Medium,Netherlands,Paid Ads,Paid Ads_A,iOS,Basic
26,2024-06-01,2024-11-01,Female,Single,23,Low,Czech Republic,Referral,Referral_B,Android,Standard
27,2024-06-01,,Male,Married,36,High,Sweden,Paid Ads,Paid Ads_B,Android,Standard
28,2024-02-01,2024-12-01,Male,Single,30,Medium,Italy,Organic,Organic_C,Android,Basic
29,2024-08-01,2025-07-01,Female,Single,40,High,Netherlands,Organic,Organic_B,iOS,Standard
30,2024-04-01,2024-09-01,Female,Single,34,Medium,Poland,Organic,Organic_B,iOS,Basic
31,2024-05-01,,Female,Single,18,,Belgium,Referral,Referral_C,Android,Basic
32,2024-01-01,2024-12-01,Male,Single,25,Low,Austria,Organic,Organic_C,iOS,Basic
33,2024-04-01,2024-06-01,Female,Married,35,Medium,Belgium,Organic,Organic_C,Android,Basic
34,2024-02-01,2024-08-01,Female,Single,35,Medium,Portugal,Paid Ads,Paid Ads_A,iOS,Standard
35,2024-06-01,,Female,Married,20,Low,Netherlands,Organic,Organic_A,Android,Standard
36,2024-05-01,,Female,Single,19,Low,Austria,Referral,Referral_C,Android,Basic
37,2024-04-01,,Female,Single,35,Medium,Switzerland,Paid Ads,Paid Ads_C,Android,Basic
38,2024-01-01,,Female,Married,20,Low,Spain,Organic,Organic_A,Android,Basic
39,2024-01-01,2024-09-01,Female,Single,18,,Germany,Paid Ads,Paid Ads_C,Web,Standard
40,2024-03-01,2024-07-01,Female,Single,30,Medium,Sweden,Paid Ads,Paid Ads_C,Android,Standard
41,2024-03-01,2024-06-01,Female,Married,30,Medium,Netherlands,Referral,Referral_A,Android,Basic
42,2024-07-01,2024-11-01,Male,Single,26,Medium,Netherlands,Referral,Referral_B,iOS,Standard
43,2024-02-01,,Male,Married,27,Medium,Poland,Organic,Organic_C,iOS,Basic
44,2024-08-01,2025-05-01,Female,Single,35,Medium,Switzerland,Organic,Organic_A,Web,Standard
45,2024-04-01,2024-07-01,Male,Married,27,Medium,Portugal,Paid Ads,Paid Ads_A,Android,Basic
46,2024-04-01,2024-07-01,Male,Single,35,Medium,Italy,Paid Ads,Paid Ads_A,Android,Standard
47,2024-08-01,2025-03-01,Female,Single,31,Medium,Netherlands,Organic,Organic_B,Android,Basic
48,2024-07-01,,Female,Married,36,High,Germany,Referral,Referral_C,Android,Standard
49,2024-06-01,,Female,Married,43,High,Belgium,Paid Ads,Paid Ads_C,iOS,Standard
50,2024-06-01,,Female,Single,43,High,Netherlands,Paid Ads,Paid Ads_C,Web,Standard
51,2024-07-01,,Female,Single,47,High,Poland,Organic,Organic_B,iOS,Premium
52,2024-06-01,,Female,Single,43,High,Italy,Organic,Organic_A,Android,Standard
53,2024-03-01,,Male,Married,37,High,Sweden,Paid Ads,Paid Ads_A,iOS,Premium
54,2024-04-01,2024-07-01,Female,Married,30,Medium,Spain,Paid Ads,Paid Ads_C,iOS,Standard
55,2024-07-01,,Male,Married,31,Medium,Austria,Referral,Referral_B,iOS,Basic
56,2024-04-01,,Female,Single,26,Medium,Austria,Paid Ads,Paid Ads_A,Web,Standard
57,2024-08-01,2025-03-01,Female,Married,35,Medium,Poland,Paid Ads,Paid Ads_B,Android,Basic
58,2024-01-01,,Male,Single,41,High,Portugal,Paid Ads,Paid Ads_C,Android,Premium
59,2024-03-01,,Female,Single,27,Medium,Belgium,Organic,Organic_B,iOS,Basic
60,2024-05-01,2024-12-01,Female,Single,34,Medium,Netherlands,Paid Ads,Paid Ads_C,iOS,Standard
61,2024-03-01,2024-06-01,Male,Married,28,Medium,Czech Republic,Referral,Referral_B,iOS,Standard
62,2024-07-01,2025-03-01,Female,Married,37,High,Czech Republic,Paid Ads,Paid Ads_B,Android,Standard
63,2024-05-01,2025-01-01,Male,Single,29,Medium,Netherlands,Organic,Organic_A,Android,Basic
64,2024-01-01,2024-12-01,Female,Married,27,Medium,Spain,Paid Ads,Paid Ads_A,Web,Standard
65,2024-07-01,,Female,Married,28,Medium,Switzerland,Paid Ads,Paid Ads_B,Android,Standard
66,2024-02-01,2024-10-01,Male,Single,40,High,Czech Republic,Paid Ads,Paid Ads_A,Android,Premium
67,2024-04-01,,Female,Single,34,Medium,Sweden,Referral,Referral_C,Android,Basic
68,2024-01-01,2024-05-01,Male,Married,30,Medium,Portugal,Organic,Organic_C,Web,Basic
69,2024-04-01,2024-10-01,Male,Married,37,High,Portugal,Paid Ads,Paid Ads_A,Android,Premium
70,2024-06-01,,Male,Single,30,Medium,Portugal,Referral,Referral_A,iOS,Standard
71,2024-02-01,2024-09-01,Female,Single,46,High,Switzerland,Paid Ads,Paid Ads_A,iOS,Premium
72,2024-02-01,2024-11-01,Female,Single,25,Low,Italy,Referral,Referral_B,iOS,Standard
73,2024-01-01,,Male,Single,33,Medium,Poland,Organic,Organic_B,Android,Basic
74,2024-02-01,,Female,Married,20,Low,Germany,Organic,Organic_C,Android,Standard
75,2024-05-01,,Female,Single,31,Medium,Germany,Organic,Organic_B,iOS,Basic
76,2024-02-01,2024-09-01,Female,Married,18,,Austria,Referral,Referral_A,iOS,Basic
77,2024-04-01,,Male,Single,42,High,Spain,Referral,Referral_B,Android,Premium
78,2024-04-01,,Female,Single,42,High,Austria,Organic,Organic_B,Android,Premium
79,2024-07-01,,Male,Single,42,High,Belgium,Organic,Organic_B,Android,Premium
80,2024-04-01,2024-09-01,Female,Married,35,Medium,Switzerland,Organic,Organic_A,Android,Standard
81,2024-07-01,,Female,Single,26,Medium,Sweden,Paid Ads,Paid Ads_B,iOS,Basic
82,2024-04-01,2024-08-01,Male,Married,26,Medium,Portugal,Organic,Organic_B,Android,Basic
83,2024-05-01,2024-11-01,Female,Single,50,High,Austria,Organic,Organic_B,iOS,Standard
84,2024-08-01,2025-02-01,Male,Single,49,High,Germany,Paid Ads,Paid Ads_A,Android,Premium
85,2024-07-01,,Female,Single,36,High,Belgium,Paid Ads,Paid Ads_B,Android,Premium
86,2024-03-01,2024-05-01,Male,Single,29,Medium,Sweden,Paid Ads,Paid Ads_C,Android,Standard
87,2024-06-01,2024-12-01,Female,Married,48,High,France,Paid Ads,Paid Ads_C,Android,Premium
88,2024-01-01,2024-12-01,Female,Single,28,Medium,Switzerland,Paid Ads,Paid Ads_A,iOS,Basic
89,2024-04-01,2024-11-01,Female,Married,37,High,Austria,Organic,Organic_A,Android,Premium
90,2024-02-01,,Male,Single,48,High,Czech Republic,Paid Ads,Paid Ads_B,iOS,Standard
91,2024-08-01,2025-02-01,Male,Single,26,Medium,Germany,Paid Ads,Paid Ads_A,Android,Standard
92,2024-04-01,2024-11-01,Male,Single,43,High,Czech Republic,Paid Ads,Paid Ads_B,Android,Premium
93,2024-02-01,2024-08-01,Female,Single,40,High,Italy,Organic,Organic_B,Android,Premium
94,2024-06-01,2024-11-01,Male,Married,34,Medium,Portugal,Organic,Organic_B,Android,Standard
95,2024-06-01,2024-09-01,Male,Married,25,Low,Austria,Referral,Referral_B,iOS,Standard
96,2024-06-01,2024-11-01,Male,Single,27,Medium,Germany,Organic,Organic_A,Android,Standard
97,2024-02-01,,Male,Single,37,High,Spain,Paid Ads,Paid Ads_C,iOS,Standard
98,2024-04-01,2024-09-01,Male,Married,20,Low,Switzerland,Organic,Organic_A,Android,Standard
99,2024-06-01,2024-09-01,Male,Married,36,High,Netherlands,Referral,Referral_B,Android,Standard
100,2024-05-01,2024-12-01,Male,Married,40,High,Netherlands,Referral,Referral_C,iOS,Premium
101,2024-07-01,,Male,Single,44,High,Spain,Referral,Referral_B,Web,Standard
102,2024-02-01,2024-10-01,Male,Single,21,Low,Switzerland,Paid Ads,Paid Ads_B,Android,Basic
103,2024-02-01,2024-09-01,Male,Married,48,High,Switzerland,Paid Ads,Paid Ads_B,Android,Standard
104,2024-04-01,2024-10-01,Female,Married,51,Premium,Switzerland,Organic,Organic_B,iOS,Standard
105,2024-02-01,2024-08-01,Female,Single,39,High,Switzerland,Organic,Organic_C,Web,Premium
106,2024-02-01,2024-10-01,Male,Married,24,Low,Germany,Organic,Organic_A,Web,Basic
107,2024-06-01,,Female,Married,31,Medium,Poland,Paid Ads,Paid Ads_A,Android,Standard
108,2024-04-01,,Female,Single,34,Medium,Poland,Referral,Referral_A,iOS,Standard
109,2024-06-01,2024-11-01,Male,Single,37,High,Italy,Organic,Organic_C,iOS,Premium
110,2024-07-01,,Male,Single,35,Medium,Portugal,Paid Ads,Paid Ads_C,iOS,Standard
111,2024-08-01,,Male,Single,37,High,Italy,Paid Ads,Paid Ads_A,iOS,Standard
112,2024-07-01,2024-09-01,Female,Married,34,Medium,Spain,Organic,Organic_C,Android,Basic
113,2024-08-01,2025-04-01,Male,Single,37,High,Italy,Organic,Organic_B,iOS,Premium
114,2024-06-01,2024-12-01,Female,Married,30,Medium,Italy,Organic,Organic_A,iOS,Standard
115,2024-07-01,,Male,Married,31,Medium,Italy,Referral,Referral_B,iOS,Basic
116,2024-04-01,,Female,Single,29,Medium,Belgium,Referral,Referral_C,Android,Standard
117,2024-01-01,2024-12-01,Female,Single,54,Premium,Austria,Organic,Organic_B,Android,Premium
